company_name,company_age,diversity_score,glassdoor_rating,hq_region
Stephens LLC,44,8.57,3.4,Europe
Harrell Group,1,8.66,4.7,Oceania
Tran Ltd,29,7.68,4.9,Oceania
"Hall, Vega and Price",70,9.53,4.0,Europe
"Rivera, Johnson and Wiley",48,8.88,4.3,Europe
Nixon-Miller,33,7.47,2.9,Oceania
Graham Group,18,9.92,2.8,Asia
"Allen, Armstrong and Graves",65,8.9,4.8,North America
"Jackson, Miller and Robertson",27,7.87,2.8,Asia
Thompson LLC,60,6.94,3.6,Europe
Hardy-Wallace,23,6.17,3.5,North America
Wells PLC,64,9.67,4.0,South America
"Miller, Mcdonald and Miller",12,9.94,2.8,Europe
White-Morales,29,7.21,3.7,Europe
Dunn Ltd,29,6.65,4.3,North America
"Hale, Myers and Larson",68,8.15,4.5,Oceania
Reeves and Sons,60,8.98,3.7,Africa
Barnes Group,97,8.79,4.6,Asia
Taylor-Barry,27,9.51,3.9,North America
Burch-Montoya,74,5.04,2.9,Africa
"Grant, Bryan and Williams",74,7.32,3.9,Europe
Martinez Group,37,6.78,3.4,Europe
Manning Group,35,7.3,3.4,South America
"Hernandez, Cole and Watson",64,8.29,3.2,South America
Hernandez Ltd,61,8.78,2.9,Europe
"Jones, Scott and Rodriguez",21,9.31,3.5,Europe
Jacobson Inc,97,7.3,3.9,Europe
Hardy-Wallace,7,7.52,4.7,Africa
Watson-Fischer,50,9.74,3.3,South America
"Parks, Johnson and Love",72,8.35,4.0,South America
"Baker, Mason and White",23,8.54,2.8,Oceania
Hughes Inc,88,9.12,3.3,Europe
"Williams, Mccoy and Cook",30,5.02,4.3,South America
Brown Group,38,6.02,3.1,Africa
Adams Ltd,64,5.54,5.0,North America
Sims-Weber,2,7.78,2.8,Africa
Montes-Hammond,96,6.82,3.3,North America
Sheppard-Jordan,89,5.47,2.8,Oceania
"Norton, Cox and Johnson",13,6.68,2.7,South America
Davies-Morales,43,8.12,3.1,Asia
Harris-Lawson,34,6.61,2.7,South America
"Cox, Stark and Rodriguez",15,7.75,3.6,South America
"Meadows, Robles and Anderson",25,5.52,2.6,North America
Diaz PLC,77,8.62,3.2,South America
"Serrano, Marsh and Gonzalez",75,7.64,4.7,South America
Gibson Ltd,86,5.77,3.2,South America
Wheeler Group,39,9.54,3.0,North America
"Dyer, Potter and Mack",18,8.44,4.5,South America
"Martinez, Stanton and Bennett",63,5.59,3.2,Africa
Myers-Colon,7,7.11,4.2,North America
"Robertson, Fisher and Smith",79,9.03,3.7,Asia
"Harrison, Franco and Rocha",44,5.33,2.9,Europe
Byrd LLC,93,7.68,3.8,Asia
Conrad Group,28,9.91,3.4,Oceania
"Peck, Andersen and Mitchell",8,8.39,3.5,Africa
Randall LLC,96,5.94,4.9,Africa
Morgan-Rodriguez,35,7.8,4.7,Africa
Andrews-Jackson,60,5.98,4.3,North America
King Inc,75,6.37,3.3,North America
"Lucas, Parker and Alexander",77,5.23,4.0,Asia
Harrison PLC,98,7.73,4.4,Europe
"Kramer, Sherman and Trujillo",87,5.41,3.4,Asia
"Terrell, Byrd and Ross",40,6.12,2.9,North America
Hensley Ltd,81,5.69,2.7,Asia
"Schmidt, Hansen and Stewart",8,8.48,3.9,Europe
"Brooks, Greene and Rowland",82,9.73,3.3,Africa
Yu-Brooks,23,5.22,4.6,North America
Houston PLC,36,9.52,4.7,South America
Anderson-Rosario,7,5.24,2.5,Europe
"Moore, Daniels and Powell",54,7.9,3.4,Africa
"Roth, Logan and Moreno",84,8.25,4.0,Africa
Schmidt-Phillips,15,7.72,3.1,Asia
Adkins Group,90,8.18,2.8,Asia
"Leach, Skinner and Mills",54,6.17,3.8,Asia
"Contreras, Ellis and Gregory",68,7.98,4.2,Oceania
Medina and Sons,39,8.14,3.8,Europe
"Howard, Silva and Hall",87,7.66,3.5,North America
"Rivera, Martinez and Richardson",92,6.69,4.9,Asia
Bennett-Velasquez,97,7.5,5.0,Oceania
"Young, Contreras and Marshall",93,5.74,4.9,South America
"Gallegos, Myers and Cook",23,9.44,3.2,North America
Flores LLC,8,9.46,5.0,South America
Jimenez Ltd,69,9.55,4.8,Africa
Lee-Gregory,92,5.91,4.4,Europe
Spence PLC,51,5.18,4.8,North America
Woods-Anderson,19,9.97,4.5,South America
Young-Alexander,9,6.08,3.2,Europe
Rodriguez-Wood,15,5.83,4.9,Asia
"Lopez, Nichols and Clarke",42,7.08,4.8,South America
Hess PLC,92,7.99,3.5,Oceania
"Morse, Silva and Johnson",69,8.37,2.8,Africa
Robinson-Smith,35,7.09,2.7,Asia
Ortiz-Rodriguez,35,8.56,4.5,Asia
Stephens LLC,85,8.35,3.4,Europe
Hernandez-Howell,55,7.27,3.1,Oceania
Silva-Smith,82,7.97,4.4,Africa
Owens PLC,91,7.13,3.1,Asia
Ware and Sons,67,5.39,4.6,South America
"Fisher, Payne and Thompson",71,5.81,3.8,South America
"Olsen, Walker and Vincent",96,9.28,4.9,Asia
Wells-Hernandez,22,9.64,2.6,Oceania
Roberts Group,55,6.33,3.4,North America
Wright Ltd,19,9.19,3.1,Africa
Welch-Suarez,77,8.82,3.2,South America
Wright-Davis,57,9.6,2.8,Oceania
"Carrillo, Morris and Martin",35,7.36,3.2,Africa
Lane Inc,63,8.29,4.5,Oceania
"Conner, Li and Santiago",68,9.27,4.0,Asia
Wright-Davis,99,9.55,4.2,Africa
"Edwards, Baker and Anderson",33,9.28,3.3,South America
English-Dominguez,97,7.44,4.4,Africa
"Fox, Harrington and Wang",11,5.1,3.9,Oceania
Hernandez-Lopez,58,8.1,4.8,Asia
Bishop Inc,43,5.27,4.6,Europe
Adams Group,75,7.49,4.4,Asia
Franklin Group,23,8.37,3.8,Oceania
Walker LLC,45,9.26,3.7,North America
"Hernandez, Cole and Watson",24,5.45,4.6,Oceania
Bright-Francis,60,8.6,3.8,Oceania
Robinson-Lee,28,8.79,3.3,North America
"Arnold, Avila and Wilson",34,7.38,4.1,Oceania
Houston PLC,35,7.28,2.6,North America
"James, Bell and Chen",32,6.35,4.8,Europe
Burton Ltd,70,5.31,3.2,South America
Novak PLC,51,9.01,3.6,Asia
"Terrell, Martinez and Wood",65,6.72,3.9,Africa
Peterson Ltd,42,7.36,4.0,Africa
Hughes-Alvarado,65,5.54,4.6,Oceania
"Bradley, Melendez and Gonzalez",61,5.29,4.1,South America
Nelson-King,6,5.17,4.0,Oceania
"Curry, Perry and Garcia",29,9.06,3.6,Asia
Pena-Dyer,37,6.73,3.9,Oceania
"Henry, Spencer and Ryan",94,5.68,3.8,Asia
Casey-Brown,18,9.22,3.2,Africa
"Gilbert, Fitzgerald and Sanchez",95,5.93,4.6,South America
"Mayer, Fowler and Livingston",5,7.6,2.9,Europe
Dudley Group,85,5.7,3.1,North America
"Carlson, Hooper and Wall",72,6.88,4.3,North America
"Thomas, Vaughan and Copeland",79,5.11,2.7,Africa
"Harrison, Johnson and Roberts",85,6.34,4.8,Africa
"Shaffer, Garcia and Richardson",48,8.1,4.7,Asia
Villegas PLC,68,8.57,3.6,Europe
Richardson-Jimenez,92,6.04,3.1,South America
Reyes-White,69,7.63,3.6,South America
Ross LLC,59,5.58,4.7,North America
"Alvarado, Miller and Patterson",15,7.67,3.6,North America
Wright-Grimes,7,6.42,2.8,Asia
"Martinez, Camacho and Mathews",56,8.66,2.6,Oceania
"Smith, Arnold and Atkins",14,8.65,4.7,Africa
"Thomas, White and Jensen",72,5.95,4.6,South America
"Jones, Torres and Blackburn",97,6.83,3.1,Africa
Fuentes Group,88,7.4,4.5,Oceania
"Brooks, Neal and Baldwin",28,5.66,3.9,Africa
May Inc,42,8.15,2.9,North America
"Khan, Pena and Ruiz",82,6.59,2.8,Europe
Lopez-Martinez,6,7.73,3.6,South America
"Morgan, Hamilton and Hernandez",29,9.41,2.5,Asia
Underwood PLC,65,8.68,4.5,Europe
Rodriguez-Graham,98,9.8,4.1,South America
"Quinn, Humphrey and Ford",28,9.7,4.2,Africa
Wilson Inc,2,6.91,3.8,Africa
Kim Inc,83,9.3,4.6,Oceania
Hughes-Smith,77,6.74,4.4,North America
Alvarado-Davidson,16,6.56,3.8,North America
Woods LLC,31,8.41,2.6,South America
Watts LLC,84,9.51,4.5,Asia
Smith-Gonzalez,91,5.05,2.8,Europe
Chen Ltd,57,8.36,4.6,Asia
Smith and Sons,5,8.19,2.9,Asia
"Moore, Hopkins and Le",40,6.2,2.6,Africa
Sanchez LLC,72,6.43,4.0,South America
"Butler, Beck and Miller",48,7.77,2.6,North America
"Evans, Stewart and Walton",54,5.35,4.1,Oceania
Hardy-Wallace,24,5.55,5.0,Asia
Nelson-King,19,5.26,4.0,South America
Giles Ltd,83,7.49,3.2,Oceania
Sutton-Abbott,31,8.0,3.5,South America
"Moreno, Perez and Lang",72,7.39,5.0,Africa
"Wright, Murphy and Aguilar",45,9.64,3.6,Africa
Peters Ltd,59,5.11,3.8,Asia
Fowler-Torres,34,8.05,3.1,North America
Davis-Garcia,82,7.73,2.9,Asia
Roberts-Henry,37,8.72,4.6,Asia
Moss LLC,42,8.28,2.6,North America
King Inc,70,8.39,3.4,South America
"Daniels, Adkins and Brown",44,6.03,2.6,Europe
Cruz Ltd,27,6.13,3.7,South America
Roberts-Henry,85,9.72,3.6,Europe
Levy-Smith,18,8.97,3.9,Oceania
Weaver-Thompson,63,9.79,4.8,South America
Peterson-Ramsey,48,5.92,3.7,Europe
"Ferguson, Shaw and Jackson",13,5.3,3.5,Oceania
"Burns, Hanson and Garza",82,7.95,4.7,Africa
Bishop-Goodwin,79,5.34,2.8,Asia
"Bernard, Flores and Fleming",81,8.01,3.2,Asia
Bennett-Velasquez,76,6.26,2.8,North America
"King, Nixon and West",39,8.78,3.3,South America
"Watson, Anderson and Brown",31,5.34,4.1,Africa
Rodriguez Inc,8,7.95,4.5,Asia
Vance PLC,19,9.8,3.5,South America
"Ferguson, Martin and Obrien",29,8.0,4.7,South America
Edwards-Ramsey,76,8.12,3.4,Oceania
"Barnes, Jackson and Gutierrez",89,5.92,3.2,Oceania
"Abbott, Green and Andrews",49,6.59,2.9,Europe
Michael-Barber,97,6.41,4.8,Europe
Harris Ltd,99,5.36,2.9,Asia
"Perez, Hayes and Lloyd",91,5.44,2.6,South America
"Flores, Shaw and Barker",26,9.76,3.4,Asia
Sheppard Inc,42,9.94,4.4,Europe
"Peterson, Davis and Reed",62,9.92,3.8,Europe
"Morse, Silva and Johnson",74,9.55,4.4,North America
"Kim, Gonzales and Mills",67,6.42,3.6,Asia
"Patel, Adams and Lopez",63,6.72,3.3,Asia
Randall LLC,13,5.93,4.7,Europe
Hale Inc,34,6.04,3.9,Oceania
Bauer PLC,35,8.81,2.8,Africa
"Morgan, Bradshaw and Williams",46,5.22,4.7,North America
"Parker, Ortiz and Powell",9,9.16,2.7,Asia
Vance PLC,41,7.09,4.1,Asia
Terry-Martinez,73,7.88,4.8,Africa
Mccann-White,55,8.66,4.6,Oceania
Walker LLC,37,8.65,2.5,North America
Marshall-Petersen,3,7.94,4.5,Oceania
Adams Ltd,48,8.57,2.5,Europe
Washington-Martinez,6,8.47,4.7,North America
Barber-Fischer,73,7.5,3.5,Oceania
"Oliver, Simmons and Mcdonald",10,8.53,4.4,Oceania
Adams-Sanders,20,6.34,3.1,Oceania
"Harris, Stephens and Kramer",8,6.99,3.2,North America
Krause Ltd,69,7.73,3.9,Oceania
Gomez-Foster,13,7.83,4.4,Oceania
"Phillips, Wagner and Jordan",77,9.24,3.3,North America
Smith-Yu,19,5.49,2.6,Asia
Estrada-Nolan,30,7.0,4.3,Asia
"Barnes, Hernandez and Davis",49,9.03,4.4,Africa
"Abbott, Green and Andrews",13,6.6,4.9,Oceania
Nelson-Dean,26,6.7,4.0,Africa
Conrad Group,68,7.15,3.6,Asia
Owens PLC,18,6.82,2.9,Oceania
Smith-Grimes,42,8.39,3.0,Europe
"Peck, Andersen and Mitchell",83,8.12,4.2,Oceania
Russell-Daniels,22,8.18,3.7,Africa
Mccall-Martin,82,9.44,4.7,Europe
"Brown, Baker and Garza",86,7.08,3.3,Europe
"Contreras, Ellis and Gregory",95,5.06,3.9,South America
"Foley, Ibarra and Daniel",8,8.31,3.1,Africa
"Valentine, Joyce and Murray",98,7.06,3.6,Africa
Aguilar LLC,27,6.86,4.7,Europe
Chapman-Odom,93,7.03,3.1,Oceania
Avila PLC,61,8.84,4.6,North America
Baird-Williams,72,6.17,2.7,Oceania
Kelly-Estrada,51,8.19,4.9,Europe
Rogers LLC,21,6.9,4.5,Oceania
"Arnold, Avila and Wilson",36,8.87,4.7,Europe
Marshall-Miller,76,5.74,2.6,North America
"Brown, Jensen and Rice",78,9.36,3.4,Oceania
"Brooks, Neal and Baldwin",85,8.55,3.9,Europe
"Barnes, Hernandez and Davis",47,6.6,4.0,Africa
Powell-Sanford,1,5.59,2.7,Europe
"Brown, Dunlap and Moore",17,9.38,4.4,Oceania
"Miller, Gonzalez and Rasmussen",97,9.84,2.9,Oceania
Frazier Group,25,8.7,4.3,Europe
"Fitzpatrick, Rivera and Smith",90,5.5,2.9,South America
"Salazar, Garrett and Perez",7,6.98,3.3,North America
"Moore, Price and Ward",59,7.56,3.2,South America
Richardson-Gray,31,7.26,2.8,North America
"Guerrero, Peck and Coleman",14,9.09,4.4,Africa
"Barker, Tucker and Mcclure",93,7.46,2.8,Africa
"Bentley, Lynch and Henderson",37,7.17,3.6,North America
Medina and Sons,94,5.23,3.3,Africa
Lewis-Fuentes,31,9.27,3.1,South America
"Lloyd, Mckinney and Collins",82,6.57,3.5,South America
Howard Inc,90,9.1,4.6,South America
Franklin Group,50,6.7,2.9,North America
Weeks and Sons,80,5.41,2.6,North America
Griffin Inc,93,9.79,2.5,South America
Ray and Sons,17,6.0,3.8,South America
Dickson Group,75,6.43,4.2,Asia
Thomas-Santiago,16,9.59,2.8,South America
"Meadows, Robles and Anderson",72,8.96,4.0,North America
Curtis-Lowe,58,8.84,4.5,South America
"Burns, Lopez and Jones",11,8.85,3.4,North America
"Porter, Schultz and Allen",84,9.8,2.8,Asia
"Phillips, Wagner and Jordan",30,9.66,3.0,Asia
"Carroll, Sullivan and Bass",36,9.56,5.0,South America
Chapman and Sons,72,6.51,3.3,North America
"Charles, Brown and Smith",83,9.65,3.8,Oceania
"Haney, Harris and Johnson",53,5.46,3.1,North America
"Bass, Anderson and Taylor",72,7.97,3.9,Oceania
"Smith, Griffith and Tucker",89,7.74,5.0,Africa
Reyes and Sons,18,7.38,4.3,Asia
Lopez PLC,46,9.7,2.5,Africa
Wilson and Sons,73,9.3,5.0,North America
"Hicks, Bullock and Bailey",83,8.19,3.3,South America
Hall-Robinson,19,7.4,4.7,South America
"Lewis, Holloway and Acosta",59,7.29,4.8,Africa
Simmons-Reed,81,5.93,3.0,North America
Delgado Group,31,9.24,3.3,Oceania
Perez LLC,31,8.76,4.7,Oceania
Henderson Ltd,99,9.77,4.2,South America
Hunt PLC,60,5.08,4.4,Africa
Richardson-Gray,30,5.51,2.6,North America
"Cole, Glass and Cunningham",21,6.67,2.7,Asia
"Brown, Coffey and Fuentes",81,8.1,3.0,South America
Austin-Morgan,60,9.49,4.0,North America
Hopkins LLC,24,5.91,3.4,Asia
"House, Smith and Wright",20,5.82,5.0,Europe
Fernandez Inc,96,9.35,4.0,Europe
Hahn-Ramsey,99,9.01,2.6,Asia
Turner-Mayer,8,8.64,2.7,South America
"Brown, Schneider and Moore",38,7.06,3.1,Europe
Hahn-Ramsey,5,6.2,3.0,Asia
Reyes Group,13,6.79,3.6,North America
Gomez and Sons,90,6.08,2.9,South America
Ferguson Inc,55,8.14,3.1,South America
"Hanson, Williams and Mcclure",73,6.16,3.4,Oceania
"Grimes, Arnold and Lawson",90,8.5,4.0,Africa
"Roberts, Beck and House",47,7.78,3.9,South America
"Contreras, Ellis and Gregory",13,7.67,2.6,South America
Jackson Inc,89,6.47,4.9,Africa
"Garcia, Kim and Barrett",77,6.27,4.2,Asia
Hampton-Tucker,27,8.36,3.0,South America
"Johnson, Lee and Whitaker",7,5.4,2.8,Oceania
Taylor Inc,4,9.05,3.3,Europe
"Watts, Robinson and Nguyen",7,9.59,3.4,Oceania
"Cruz, Richmond and Edwards",91,7.68,3.9,Asia
"Williams, Horn and Morales",74,8.78,3.5,Africa
"Vargas, Taylor and Hunt",65,9.21,2.6,South America
Villanueva LLC,68,5.35,3.6,Europe
"Lucas, Parker and Alexander",50,7.98,2.8,North America
Taylor-Ayala,52,9.62,3.7,North America
Martinez-Freeman,46,5.08,3.4,South America
Mills Inc,12,6.49,3.6,Asia
"Herman, Bailey and Richmond",23,7.44,4.7,Asia
Bruce-Gonzalez,94,7.15,2.8,Europe
"Miller, Schultz and Yates",52,6.16,4.9,Oceania
"Bradley, Melendez and Gonzalez",58,7.89,4.0,Africa
Mills Inc,69,6.02,4.2,Asia
Reynolds Ltd,83,5.77,3.2,North America
"Aguirre, Cohen and Mitchell",84,9.65,4.2,Europe
Barton-Chapman,4,6.78,3.1,North America
Fox PLC,40,9.94,4.0,Oceania
Rhodes-Holland,59,6.45,4.6,Asia
"Rivera, Johnson and Wiley",69,8.16,3.2,Oceania
Ross Ltd,6,8.34,4.4,South America
"Lawson, Morris and Ramos",39,6.71,2.9,Europe
Richard-Russell,66,8.18,3.9,South America
Ochoa LLC,24,9.59,3.6,Asia
Jackson Group,38,7.6,3.0,Africa
"Mcbride, Huffman and Parker",40,7.5,4.3,Asia
Barnes PLC,83,9.38,4.8,Oceania
"Nguyen, Wallace and Lawson",16,5.85,4.6,Africa
"Cook, Wells and Bryant",43,8.05,2.5,Europe
"Sanders, Harris and Arnold",6,6.9,3.4,North America
"Smith, Arnold and Atkins",7,8.44,3.5,Oceania
"Daniel, Jimenez and Morton",25,7.29,4.2,Asia
"Young, Wilson and Moreno",22,5.53,4.9,Africa
"Charles, Brown and Smith",40,7.23,5.0,Asia
"Olsen, Walker and Vincent",40,7.38,4.4,Europe
Miller-Wright,87,6.0,2.5,Oceania
Cook-Rodriguez,25,8.41,4.0,Asia
Suarez LLC,33,5.35,3.7,Oceania
Romero Ltd,82,5.37,4.2,Oceania
Griffin Inc,49,6.97,2.5,Oceania
"Hernandez, Riley and Buckley",20,7.97,4.7,Asia
Patterson Inc,94,8.38,4.2,North America
"Carroll, King and Scott",35,9.51,3.5,South America
Diaz PLC,89,6.08,3.3,North America
Ford-Moody,39,8.68,3.1,South America
Vasquez-Galloway,14,8.3,3.9,Africa
"Mcdaniel, Bentley and Mclaughlin",80,9.48,4.7,Africa
Nelson-Dean,74,5.25,4.3,Asia
"Schwartz, Christian and Knight",8,5.49,4.4,Africa
"Nguyen, Olson and Freeman",51,5.86,4.6,Europe
Dickson-Brady,98,8.49,4.3,Asia
Adams Group,95,7.86,2.9,South America
White-Knox,96,6.26,3.6,Europe
Nunez-Freeman,69,6.6,4.3,North America
Smith-Gutierrez,74,6.23,3.1,Oceania
Arnold-Gates,99,5.78,4.0,South America
Hernandez-Vaughn,30,6.36,4.8,Oceania
"Allen, Lewis and Mullins",86,6.29,3.5,Europe
"Barrera, Kerr and Jenkins",75,6.25,3.0,Africa
Jackson-Meza,97,5.61,4.0,Oceania
"Brown, Romero and Collins",75,6.94,4.0,Oceania
Hampton-Tucker,91,9.23,3.6,Africa
Lopez-Curry,86,5.06,3.6,Asia
Hill Group,74,6.9,2.6,Europe
"Wood, Martin and Sanchez",46,6.57,2.9,South America
"Garrison, Ryan and Miller",51,9.97,2.7,North America
Gomez-Jenkins,70,6.36,3.7,Asia
Watkins-Nguyen,77,8.82,3.4,Asia
"Kelly, Maxwell and Wilson",20,8.62,4.3,Europe
Walker-Lewis,99,6.08,3.7,Europe
Ross Ltd,22,8.43,3.2,North America
Martinez-Nichols,69,7.37,4.7,Africa
"Brown, Baker and Garza",33,5.38,3.7,North America
Barnes Inc,68,5.76,4.1,North America
Flores-Johnson,4,6.5,3.8,South America
Love-Mcdowell,79,9.92,3.3,North America
Phillips PLC,96,5.89,2.5,Europe
Ritter PLC,64,8.63,3.9,North America
"Jones, Mcmahon and Spence",34,9.05,3.1,Africa
"Smith, Crawford and Reed",42,9.73,4.9,South America
Murray-Oconnor,58,5.41,3.6,South America
May Inc,89,6.92,3.9,Asia
Chapman and Sons,29,7.65,4.9,South America
Bennett Ltd,74,9.32,4.0,Africa
"Bernard, Flores and Fleming",73,8.33,3.6,Africa
"Johnson, Lee and Whitaker",92,8.07,3.1,Europe
Klein PLC,10,8.53,3.2,Europe
Smith-Ramirez,28,7.33,2.7,South America
Hunter-Bell,11,8.25,4.3,North America
Johnson-Schultz,90,5.35,3.4,Europe
Vega-Thomas,93,7.77,2.9,Africa
Figueroa PLC,24,7.1,4.1,Asia
Tate Inc,22,9.14,4.8,South America
Knox-Powers,34,5.15,4.7,Oceania
Sheppard-Jordan,30,9.82,3.4,Europe
Crawford and Sons,3,8.82,4.9,South America
Rodriguez and Sons,49,7.63,3.5,Asia
Graham-Anthony,37,6.69,4.2,Oceania
Kerr-Gonzalez,95,9.47,4.5,Europe
"Thompson, Phelps and Stuart",19,6.01,3.7,North America
Durham-Myers,83,9.38,3.5,South America
Chavez-Hall,22,9.56,4.4,Africa
"Daniels, Adkins and Brown",16,6.86,3.9,Asia
Gonzalez Group,6,8.16,4.0,Oceania
"Anderson, Roberts and Gilmore",25,5.43,4.9,North America
Henderson Ltd,54,9.98,3.3,South America
Weaver-Thompson,54,6.79,4.1,Europe
Rivas Ltd,45,9.34,4.8,North America
"Hernandez, Jenkins and Parks",74,9.04,4.0,Asia
Cortez-Chen,91,9.02,2.6,South America
Allen-Peterson,5,7.51,3.1,Oceania
"Hill, Brown and Scott",41,9.39,3.4,Africa
Tate Inc,52,9.61,5.0,Africa
"Daniel, Kelley and Murphy",30,9.55,2.7,Africa
"Meyer, Dawson and Harper",13,6.66,3.5,South America
Sims-Anderson,98,5.49,3.1,North America
"Nelson, Morton and Medina",51,7.7,4.4,South America
Baker Ltd,48,6.69,3.7,Africa
"Harper, Smith and Buchanan",18,9.12,4.5,North America
Jackson-Meza,7,7.16,3.8,Europe
Nixon-Miller,3,7.79,4.3,North America
Collins-Cox,94,5.23,2.6,Europe
"Moore, Daniels and Powell",82,8.45,3.6,Oceania
"Brown, Harris and Dougherty",5,9.81,2.7,South America
Miller-Orr,52,5.43,3.0,South America
Lam-Elliott,21,6.4,3.2,South America
"Ortega, Solis and Warner",29,9.18,3.8,Europe
"Mcclure, Ward and Lee",25,7.89,4.5,Africa
Arnold Ltd,11,9.68,3.8,Africa
Evans-Martinez,47,5.06,4.3,Europe
Li-Thompson,70,7.11,4.5,Asia
"Keith, Johns and Jones",27,9.54,4.7,Oceania
"Peterson, Reid and Johnson",38,6.62,2.8,Asia
Hayes LLC,37,5.47,3.9,North America
"Adams, Hernandez and Vaughn",63,6.69,2.9,North America
"Cantrell, Rivera and Thornton",44,8.71,4.8,South America
Young-Molina,4,7.39,2.5,South America
"Hess, Christensen and Perez",19,5.45,4.2,Oceania
"Mcdonald, Dillon and George",75,10.0,4.0,Europe
"Allen, Davenport and Price",78,7.73,5.0,Africa
Diaz PLC,91,6.51,4.5,Europe
"Brown, Coffey and Fuentes",62,7.65,3.0,Oceania
Phillips LLC,29,8.65,3.4,North America
"Weber, Wheeler and Gonzalez",32,9.55,5.0,Oceania
Clark-Figueroa,55,7.05,2.7,Asia
"Fisher, Payne and Thompson",49,9.98,2.9,Oceania
"Schneider, Porter and Hanna",46,9.52,3.9,North America
Simmons-Reed,21,9.65,4.1,Africa
Clay Inc,51,8.31,3.8,South America
"Acosta, Campbell and Leblanc",99,9.14,3.4,Oceania
Hughes-Alvarado,84,6.21,4.2,Oceania
Sheppard LLC,64,5.57,3.4,South America
Lopez-Willis,86,6.46,4.1,North America
Garcia-Thomas,44,8.77,3.3,Asia
"Ortega, Jackson and Salazar",4,8.15,4.1,North America
Ortiz Ltd,36,7.72,3.2,Oceania
Taylor-Harrison,14,7.8,4.6,Oceania
"Barnett, Bennett and Escobar",20,6.28,2.6,North America
Hammond LLC,58,8.62,2.8,Oceania
Morgan-Rodriguez,92,5.29,3.0,Asia
Chapman and Sons,19,6.34,4.6,South America
Hunter-Bell,52,7.87,3.9,Africa
Peters Ltd,65,9.4,4.2,Oceania
"Bradley, Melendez and Gonzalez",44,8.09,3.9,South America
Vega-Thomas,37,8.35,4.4,Europe
"Lewis, Holloway and Acosta",64,5.69,4.0,Asia
Baldwin-Garcia,22,7.44,4.2,Asia
"Jones, Smith and Hunter",83,5.65,4.1,Europe
Davis-Ortiz,22,5.58,4.2,Europe
Hoover-Davis,62,5.03,4.8,Europe
Taylor Inc,26,9.57,3.3,South America
"Evans, David and Hendrix",95,5.45,2.5,South America
Arnold Ltd,33,6.74,4.6,North America
Tate Inc,3,9.58,3.1,Asia
Campbell LLC,53,9.66,3.2,Asia
"Garcia, Stewart and Delacruz",28,9.29,4.1,South America
Sanders-Espinoza,31,7.33,2.8,Oceania
"Parker, Ortiz and Powell",8,7.96,4.6,North America
Kramer-Shannon,67,5.39,4.8,Europe
Owens-Russell,77,9.56,3.6,South America
Lin-Smith,32,9.36,4.7,Europe
Jones-Choi,42,8.79,5.0,Oceania
"Henderson, Alexander and Galvan",99,5.29,3.6,Africa
"Gardner, Brooks and Pierce",24,7.92,4.1,Asia
Rogers Inc,82,6.07,3.9,Oceania
Johnson Ltd,22,9.28,4.6,Europe
Garcia-Jennings,8,6.51,4.3,North America
Petersen PLC,63,6.41,4.3,Oceania
Black-Graham,15,8.19,3.3,Europe
"Johnson, Lee and Whitaker",62,7.37,4.1,Africa
Vargas-Snyder,17,5.59,3.8,Africa
Powell-Montgomery,21,9.32,3.2,North America
"Long, Flores and Reyes",14,9.35,4.8,Africa
Miller-Chan,23,9.27,2.6,Oceania
"Jones, Cummings and Conway",38,5.91,3.7,North America
Navarro PLC,1,8.25,2.8,Africa
Oneill and Sons,56,9.97,2.5,South America
"Downs, Morris and Maddox",89,8.52,3.2,Africa
Booker Inc,97,5.77,3.5,Asia
"Daniels, Adkins and Brown",31,7.62,4.8,Africa
"Gray, Montoya and Miller",12,5.98,3.7,Oceania
Moss LLC,54,5.04,4.4,Africa
Robinson-Lee,1,5.21,3.8,Asia
Simon Ltd,86,6.69,4.9,North America
"Lewis, Holloway and Acosta",45,5.85,4.7,Europe
Navarro PLC,37,9.69,5.0,South America
Davis PLC,36,5.98,4.7,Europe
Bryant-Meyer,69,7.95,4.9,Asia
"Olsen, Walker and Vincent",99,5.52,4.0,Europe
"Austin, Day and Johnson",12,8.42,3.6,Oceania
Fuentes Group,23,6.88,3.6,Europe
"Rios, Walker and Wright",95,7.73,2.6,Africa
Weaver-Gibson,77,9.66,4.7,Europe
Turner-Stout,37,9.52,3.2,South America
"Burch, Kim and Hall",34,7.2,3.5,Europe
"Carter, Hendricks and Wolfe",99,8.46,3.9,Africa
"Oliver, Simmons and Mcdonald",45,6.18,4.7,North America
Castillo-Harrington,90,9.65,4.5,Oceania
Reilly-Rodriguez,30,5.72,2.9,North America
Ritter PLC,41,5.65,4.3,South America
Bryant-Rich,39,5.25,4.5,Asia
"Shaw, Nelson and Martin",40,5.18,4.0,Oceania
Gomez-Parrish,35,6.92,3.1,North America
Reyes Group,59,9.61,2.8,Europe
Zavala and Sons,38,7.06,3.9,North America
"Henderson, Alexander and Galvan",99,8.14,4.7,North America
"Cunningham, Murphy and Wolfe",42,5.47,2.7,Asia
Hernandez Ltd,50,9.6,4.0,South America
Valentine-Holland,24,9.46,4.9,Europe
Hancock and Sons,96,5.35,4.3,North America
Reyes-Bradley,79,9.17,4.2,Oceania
Abbott Ltd,22,9.38,3.2,Oceania
"Brooks, Neal and Baldwin",46,5.58,2.8,Oceania
Anderson-Bell,97,7.51,4.6,Africa
