education_required,avg_salary_usd,avg_years_experience
PhD,93217,6
Certificate,114069,1
PhD,112666,4
PhD,109838,3
Diploma,50562,4
Certificate,107796,3
Associate,106509,8
PhD,116028,4
Diploma,93174,9
Certificate,120685,0
Certificate,149612,3
PhD,60823,7
Associate,129157,2
Certificate,82424,0
Certificate,109934,8
Associate,148306,5
PhD,63215,6
Associate,139513,1
Certificate,57520,3
Associate,126089,4
Associate,95894,4
Diploma,105308,5
Associate,129923,8
Diploma,62736,9
PhD,131892,2
Associate,106906,0
Master,81454,7
Master,93085,5
Certificate,94937,8
Certificate,71098,8
Associate,64485,9
Master,83768,5
Bachelor,53724,8
Diploma,85712,7
Certificate,115095,6
Master,71842,8
Diploma,90498,7
Associate,140025,8
Diploma,59635,7
Diploma,137922,8
Diploma,101271,0
PhD,133641,8
Master,58999,5
Diploma,86066,7
Diploma,137138,8
PhD,101663,7
PhD,121574,4
Associate,57270,1
Master,71326,1
Certificate,91786,0
Certificate,57951,0
Certificate,88800,6
Certificate,120983,6
Certificate,82744,6
Master,103408,0
Diploma,72275,6
Associate,128353,9
Master,74429,7
Master,69273,3
Diploma,93729,0
Certificate,145635,1
Bachelor,108107,8
Master,97327,7
Certificate,142701,0
Bachelor,149121,2
Master,60901,3
Certificate,64237,8
Bachelor,136424,2
Bachelor,126255,7
Certificate,87559,9
Certificate,102579,7
Diploma,112087,2
Master,80195,2
PhD,118040,5
Diploma,119369,8
PhD,67820,1
Diploma,96472,9
Bachelor,60751,4
Bachelor,54068,1
Diploma,133702,7
Diploma,145185,4
Associate,149428,8
Associate,84486,2
PhD,133869,4
Diploma,74919,0
Associate,58352,4
PhD,112409,3
Diploma,112719,7
Bachelor,79812,6
Diploma,108119,5
Master,64049,0
PhD,148173,1
Certificate,106414,1
Associate,102274,4
Bachelor,116629,3
Diploma,91602,2
PhD,137147,8
Associate,147638,5
Associate,123341,7
Associate,91335,7
Associate,144136,6
Bachelor,126629,6
Bachelor,133068,0
Certificate,100430,7
PhD,91468,8
Bachelor,96116,2
Master,79718,7
Master,84956,9
Diploma,67549,6
Bachelor,84757,0
Associate,93380,0
Master,86116,0
Master,82283,8
Associate,141988,9
Master,141021,4
PhD,101500,6
Diploma,119284,7
Diploma,131696,4
Bachelor,140152,4
Certificate,123745,4
Master,61020,5
Master,120813,3
Master,121626,8
Bachelor,124158,8
PhD,104021,5
Master,53873,9
Bachelor,64590,1
Master,94182,2
Associate,71757,9
PhD,145135,1
Master,74472,0
PhD,85695,4
Associate,83168,8
Certificate,134240,4
Bachelor,121460,3
PhD,123289,9
Certificate,76767,6
Diploma,137100,1
Bachelor,134212,1
Bachelor,104555,6
Certificate,81667,5
Associate,53396,0
Bachelor,80847,7
PhD,145549,2
Associate,118485,4
Associate,101209,0
PhD,56558,5
Associate,54996,8
Certificate,130432,9
Diploma,146053,2
PhD,79961,3
Associate,52826,5
Certificate,82872,4
Certificate,107172,1
Associate,83764,9
Bachelor,56664,7
Certificate,84433,1
Associate,140565,2
Master,66465,9
Associate,148452,1
Diploma,120489,6
Master,102730,0
Associate,92452,3
PhD,89942,7
PhD,105158,7
Associate,118571,0
Certificate,114221,1
Diploma,82992,2
Diploma,113919,1
Certificate,112111,7
PhD,58895,5
Diploma,125244,2
PhD,130027,3
Bachelor,135117,3
Certificate,56837,3
PhD,144826,7
Diploma,62897,5
PhD,92248,3
Master,113883,3
PhD,137223,7
PhD,99565,8
PhD,145743,4
Bachelor,65494,7
Associate,66789,0
PhD,130564,1
Diploma,124923,0
Diploma,111070,3
Master,94528,5
Diploma,146476,7
Diploma,105529,3
Associate,133853,5
Master,122399,0
Bachelor,120699,0
Master,119299,1
Associate,60167,3
Certificate,98364,0
Bachelor,110357,8
PhD,94034,4
Bachelor,89621,5
PhD,104834,5
Diploma,103394,1
Certificate,109992,8
Certificate,128115,3
Associate,57499,5
Certificate,139473,0
Certificate,129339,7
Master,130422,0
Diploma,128154,5
Associate,63310,1
Master,105168,5
Master,53091,9
Associate,82242,0
Associate,52816,5
PhD,83665,4
PhD,99883,2
Bachelor,111167,9
Bachelor,107576,4
Associate,105483,5
Diploma,107578,9
Bachelor,146342,6
Certificate,58616,6
Associate,95422,4
Master,80738,8
Master,59163,0
Associate,103933,3
PhD,114367,9
Certificate,148950,1
Bachelor,94464,5
Certificate,78925,2
Associate,95547,1
Master,98389,2
Diploma,63304,2
Associate,94913,0
Bachelor,108023,1
Master,59791,9
Master,84883,2
Certificate,66417,8
Certificate,104850,0
Master,54916,9
Master,95350,7
PhD,55821,8
PhD,71753,5
Bachelor,118380,2
Master,81293,8
Bachelor,85276,8
Diploma,142185,1
Diploma,83021,6
PhD,135020,5
Diploma,113319,0
Certificate,76311,9
Certificate,148727,9
Associate,145285,3
Diploma,97989,2
PhD,118801,3
PhD,72598,2
Diploma,135185,3
Associate,89698,2
PhD,97260,4
Certificate,115764,2
Associate,50284,0
Bachelor,146219,9
Certificate,70825,1
Certificate,107735,0
Bachelor,61585,0
Certificate,122860,2
Certificate,89271,8
Diploma,132322,0
Associate,146220,5
Master,140754,8
Certificate,147974,4
Certificate,56166,8
Certificate,131631,4
Bachelor,139395,5
Associate,123758,7
PhD,87196,7
Bachelor,90187,1
Master,70053,0
Diploma,87310,1
PhD,149475,7
PhD,75475,7
PhD,93804,8
PhD,55401,2
Bachelor,141406,0
Certificate,115022,1
Certificate,57297,2
Certificate,67511,3
Associate,102899,8
Diploma,147929,3
Bachelor,106590,3
Certificate,113208,0
Diploma,95335,1
Diploma,113418,6
Certificate,51261,4
Diploma,118703,2
Bachelor,63691,5
Master,144271,6
Master,76036,8
PhD,74459,1
Associate,64998,4
PhD,145547,1
Diploma,55686,6
Diploma,114126,5
Associate,103885,5
Diploma,133289,5
Diploma,77077,6
Master,142517,9
Master,66199,4
Diploma,123547,2
Associate,99946,4
Associate,145467,0
Diploma,124034,4
Diploma,104021,5
Associate,121459,6
Certificate,137693,2
Diploma,114117,4
Certificate,81457,3
Master,86199,5
Associate,65477,8
PhD,60030,2
Bachelor,98172,0
Master,79391,8
PhD,113227,0
Associate,82457,6
Associate,116202,8
Associate,132101,9
Diploma,72816,1
Certificate,142770,0
Bachelor,142951,5
Diploma,148887,0
Associate,147470,3
PhD,74885,4
Diploma,141068,1
Master,110305,1
Bachelor,58614,2
Certificate,63820,6
Master,79317,0
PhD,144102,0
Bachelor,63354,3
Master,121257,9
Associate,96775,5
PhD,148720,5
Associate,134020,3
PhD,85726,4
Certificate,117774,2
Certificate,62120,3
PhD,136649,4
Diploma,52795,5
Certificate,123266,2
Master,115507,7
Master,71370,2
Master,127013,7
Diploma,117703,2
Diploma,115613,6
Certificate,105657,2
Associate,131686,2
Master,124238,0
Bachelor,130699,9
Associate,95028,4
Certificate,114498,3
Diploma,120554,9
Diploma,139609,2
Diploma,66913,3
Associate,59593,7
Diploma,55053,8
Bachelor,106649,9
Certificate,133063,5
Associate,124600,3
Diploma,103834,4
PhD,59777,8
Master,105128,6
Certificate,52530,7
Bachelor,53930,7
Certificate,67787,3
Associate,54933,9
PhD,122755,2
Associate,117642,5
Diploma,68481,5
Certificate,121083,6
Master,60331,6
Master,60300,6
Master,139983,5
Diploma,125279,4
Bachelor,122124,0
Bachelor,140604,5
Master,83837,8
Diploma,72156,1
Associate,60208,5
Certificate,126084,6
Associate,112075,6
Master,131989,1
Certificate,142435,4
Master,58167,6
Certificate,148036,1
Master,87181,1
Certificate,70934,8
PhD,54547,4
Associate,127343,3
Associate,95104,6
Bachelor,97702,5
PhD,126271,3
Bachelor,117612,1
Diploma,88525,7
Associate,134331,5
Associate,67873,8
Master,67592,8
PhD,99184,1
Associate,86991,9
Bachelor,69556,7
Bachelor,55034,3
Bachelor,58373,4
Certificate,97170,0
Certificate,127422,8
Associate,124433,8
Bachelor,114037,8
Bachelor,81330,7
Bachelor,64606,7
Diploma,57578,8
Master,80308,0
Certificate,86770,6
Master,97535,0
Master,67655,8
Certificate,68630,0
Certificate,93536,0
Certificate,53621,1
PhD,88335,1
PhD,87963,6
Diploma,122583,8
Diploma,54673,3
Associate,58460,5
Diploma,123840,9
Associate,144969,8
Associate,91779,4
Associate,132941,3
PhD,86439,8
PhD,125495,5
Associate,142330,4
Master,118292,3
Bachelor,115732,9
Associate,112508,9
Bachelor,95722,5
Associate,100364,6
Diploma,71123,4
Associate,138619,9
Associate,113194,6
Master,136033,2
Diploma,128845,3
PhD,56992,5
Certificate,107647,3
Certificate,88407,7
Master,83270,7
Certificate,135328,4
Diploma,123655,8
Associate,129681,7
Master,126877,0
Master,63953,3
Diploma,70536,8
Certificate,114621,9
Certificate,103365,1
PhD,127279,2
Associate,128359,5
Diploma,115627,2
Bachelor,103397,2
Associate,99879,5
Master,102638,1
Diploma,133584,6
Master,83311,9
Master,148886,9
Diploma,95651,5
Associate,90795,9
Master,53242,0
Master,120655,2
Diploma,77465,8
Master,99875,7
Master,92676,4
Certificate,88421,7
Diploma,129964,4
Bachelor,100127,2
Bachelor,121944,8
Certificate,146194,7
Bachelor,149189,0
Associate,62471,2
Diploma,67879,6
PhD,56259,5
Certificate,139214,0
Master,105689,6
PhD,123808,9
Diploma,58935,8
Associate,116994,8
Certificate,109135,3
Certificate,128807,6
Master,91914,0
Associate,140818,3
Certificate,114222,7
Associate,68993,6
Certificate,77120,3
PhD,69398,7
Certificate,55944,8
Diploma,133837,0
Master,79903,0
Associate,149723,5
PhD,135124,5
Associate,136045,5
PhD,127452,7
Diploma,76863,1
PhD,143572,9
Bachelor,78318,8
PhD,123548,4
Master,53736,1
Diploma,85548,8
Master,119960,8
Diploma,85185,3
Diploma,57173,9
Associate,116399,2
Master,112460,6
Certificate,76812,9
Master,54588,6
Associate,131572,7
Diploma,124799,8
Master,97771,9
Master,128226,0
Certificate,85961,7
Master,102804,0
PhD,122205,9
Bachelor,56983,2
Diploma,73050,9
PhD,141164,4
Certificate,126437,0
Diploma,70003,2
PhD,89164,5
Bachelor,111017,0
PhD,79033,0
Master,81685,3
PhD,79148,1
Master,117408,0
Bachelor,137776,4
Master,141556,2
Bachelor,137578,7
PhD,67512,7
Diploma,83954,0
Master,132025,4
Master,55816,6
Associate,86984,5
Diploma,107733,6
Master,69042,1
Master,149225,4
Bachelor,77417,6
PhD,70904,5
PhD,108585,9
Diploma,147682,6
Associate,108308,2
Bachelor,141773,6
Diploma,145906,4
Associate,116875,7
Certificate,90393,4
Bachelor,77287,5
Bachelor,65575,7
Bachelor,108956,9
Certificate,62530,8
Certificate,64018,9
Master,95746,4
Bachelor,117279,1
Certificate,63552,1
Diploma,68894,3
Master,108511,0
Certificate,137168,0
Diploma,87264,3
Diploma,131052,4
Diploma,123469,4
Master,85985,9
Associate,60398,2
Certificate,62167,8
Master,135263,5
Bachelor,149054,0
Certificate,79184,2
Associate,123684,9
Bachelor,80488,8
Diploma,83222,1
Master,93340,2
Bachelor,50894,2
Associate,143551,1
Diploma,114248,9
Associate,112020,8
PhD,68679,6
PhD,86983,2
Certificate,54014,8
Bachelor,88149,0
Bachelor,106962,0
Bachelor,132306,3
Associate,63674,5
Associate,122128,7
Associate,140536,7
Associate,86279,5
Diploma,53687,5
PhD,141841,1
Bachelor,110871,5
Bachelor,123062,8
Diploma,83873,6
Certificate,80211,1
Certificate,123346,9
Certificate,52080,2
Certificate,50400,0
Diploma,117421,5
Associate,132710,9
Bachelor,81273,7
PhD,142532,4
Associate,106656,2
Certificate,134949,4
Associate,99377,8
Diploma,100225,7
Master,75693,2
PhD,105437,5
Associate,57783,0
PhD,133672,7
PhD,120745,4
Bachelor,65731,1
Master,141112,4
Bachelor,114890,1
Associate,118187,0
Associate,61970,6
Associate,60612,2
Bachelor,77199,9
Certificate,68393,6
PhD,97100,0
PhD,79392,1
Diploma,139843,1
Bachelor,146089,1
PhD,121141,0
Bachelor,122302,6
Bachelor,72955,3
Bachelor,138456,6
Associate,124286,7
Master,52641,5
Bachelor,101633,2
PhD,110548,0
Diploma,129788,6
PhD,147491,2
Master,74308,9
Diploma,62474,0
Certificate,92345,5
Certificate,93765,9
Diploma,59287,2
Diploma,132814,6
Diploma,115651,5
Certificate,98821,5
Certificate,120190,4
Associate,90648,1
Master,108949,3
Master,66377,5
Diploma,56857,0
Certificate,101329,2
Associate,63704,5
Master,96197,7
PhD,50172,4
Associate,143635,7
Master,107586,8
Master,146301,8
Master,124435,2
Diploma,60458,5
Bachelor,87936,9
Associate,146693,3
Bachelor,149956,9
Diploma,128629,6
Master,52451,6
Master,68697,6
Associate,68727,0
Diploma,60905,1
Associate,148934,9
Master,62329,9
Bachelor,51367,3
PhD,67664,9
PhD,100411,2
Diploma,107841,5
Certificate,76304,5
Diploma,81412,1
Master,123259,6
Master,98300,1
PhD,148147,3
PhD,114270,8
Master,72185,3
Bachelor,98527,0
PhD,50725,1
Certificate,129244,0
Associate,119387,6
Certificate,77166,9
Master,88863,3
Certificate,105560,7
Associate,107679,1
PhD,133793,9
Master,77006,5
Master,88832,4
Master,104396,1
Master,66684,4
Master,124050,2
PhD,79950,1
PhD,83687,4
Certificate,73028,1
Associate,57524,4
PhD,143928,0
Master,68183,5
Bachelor,124684,9
Diploma,98170,5
Bachelor,107926,9
Diploma,113480,4
Diploma,136761,3
Bachelor,69879,8
Associate,76352,9
Certificate,145948,5
Associate,138918,0
Certificate,60006,0
Diploma,91057,8
Diploma,71544,6
Diploma,101455,4
Associate,50830,4
Associate,60582,6
PhD,63129,8
Certificate,115977,1
Master,98134,9
Diploma,133895,3
Bachelor,119126,6
Certificate,76591,1
Bachelor,106336,5
Associate,90719,2
Associate,133685,3
Certificate,118292,5
Bachelor,132525,2
Diploma,63181,5
Bachelor,125636,4
PhD,117716,9
Master,60999,5
Bachelor,97710,7
Associate,109228,2
Associate,147179,3
PhD,113227,3
Associate,103990,2
Associate,80600,9
PhD,52331,4
Bachelor,88717,2
Diploma,148763,7
Associate,60070,6
Master,53328,3
Bachelor,108497,1
Certificate,110858,4
Diploma,133816,2
Diploma,117070,5
Certificate,57186,2
Bachelor,99039,3
Associate,62924,1
Certificate,125833,2
Certificate,103434,0
Diploma,148222,5
Associate,75439,0
Bachelor,78118,7
Associate,92813,4
Certificate,73028,0
Bachelor,107278,1
Associate,148478,5
Bachelor,77146,7
Diploma,71308,9
Diploma,84652,5
PhD,128082,7
Diploma,63279,0
Bachelor,111917,7
Diploma,96947,6
Associate,85185,2
Diploma,145285,3
Certificate,133520,3
Associate,110779,9
Diploma,142735,2
Certificate,96252,3
Bachelor,100524,6
PhD,115758,0
Bachelor,93435,4
Associate,131986,0
Bachelor,102860,4
Certificate,99067,6
PhD,62787,9
Bachelor,82373,1
PhD,142364,3
Bachelor,51656,3
PhD,66442,9
Master,137938,6
Certificate,148624,9
Certificate,140708,4
Certificate,132941,4
PhD,119102,7
Master,56826,0
Master,109003,2
Certificate,85692,6
Associate,141352,3
PhD,96594,8
Diploma,52947,2
Master,83377,4
Master,145427,8
Master,114522,2
Bachelor,130308,5
PhD,110169,3
Associate,95987,3
Diploma,139629,0
Associate,66607,0
Certificate,118390,7
Master,52310,5
Master,129225,9
Certificate,74464,6
Bachelor,99611,0
Diploma,117187,0
Diploma,81786,8
Associate,105459,5
Diploma,78888,0
Associate,129966,7
Master,149916,9
Master,114000,7
Bachelor,51725,8
PhD,101422,8
Associate,141249,7
Associate,84895,6
Diploma,99508,2
Associate,102720,5
Diploma,61653,9
PhD,104306,8
Certificate,139955,4
Master,64394,4
Bachelor,84624,9
Certificate,97468,9
Diploma,144494,0
Associate,114827,6
Certificate,124568,8
Bachelor,93307,7
Diploma,134585,2
PhD,75609,5
PhD,82203,5
Bachelor,78809,7
Master,55721,0
Master,146285,2
Diploma,93283,3
Diploma,84417,7
Master,59260,6
Associate,90757,3
Master,149786,6
PhD,88153,1
Master,73791,6
PhD,65699,1
PhD,139397,3
Diploma,136398,3
Associate,81003,5
PhD,81242,8
Certificate,130374,4
Master,76194,4
Certificate,70255,0
PhD,83759,5
Associate,124303,0
PhD,85511,4
Certificate,81704,2
Bachelor,75575,7
Associate,140479,1
Associate,138219,8
Certificate,113218,2
Certificate,135956,6
PhD,66460,9
Certificate,144415,5
Diploma,50778,7
Diploma,82616,8
Associate,128647,5
Certificate,134607,8
Bachelor,131049,3
Diploma,147165,4
PhD,65831,4
PhD,65759,0
PhD,109607,7
Certificate,96356,1
Bachelor,51358,4
Diploma,59964,9
Master,120057,2
Certificate,140808,2
Associate,115920,8
PhD,71952,9
Associate,69063,0
Diploma,149375,2
Master,90354,8
Diploma,126402,0
Diploma,84317,8
Bachelor,63114,3
Certificate,109593,1
Associate,65599,7
Associate,133129,8
Master,130909,3
Bachelor,64214,9
Master,79136,4
Diploma,130840,4
Diploma,52466,7
Diploma,139165,6
Certificate,122132,1
Master,54624,8
Master,121647,1
Diploma,76682,4
Certificate,109844,3
Master,139506,5
Diploma,138503,2
Diploma,106887,5
Associate,77034,5
Associate,130796,2
PhD,145862,3
Associate,57699,3
Associate,144690,5
Certificate,82753,4
Associate,57520,0
Certificate,145367,6
Bachelor,58987,6
Certificate,68663,2
PhD,111277,1
Diploma,127036,2
Master,132807,5
Bachelor,142194,5
PhD,143294,4
Certificate,110233,9
Associate,79203,8
PhD,57285,4
Bachelor,149997,5
PhD,74509,2
Bachelor,99026,7
Diploma,98993,0
Bachelor,86538,8
Master,62038,5
Bachelor,61863,5
Associate,143581,3
Associate,75785,4
Bachelor,65069,2
Associate,128414,2
Diploma,105435,6
Bachelor,145227,2
Bachelor,79446,0
Certificate,56181,5
Master,122110,3
Bachelor,109785,9
Associate,137215,2
Certificate,93036,6
PhD,126798,9
PhD,93981,8
PhD,87666,5
Certificate,125842,6
Certificate,68872,3
Associate,96714,9
Master,141820,8
Diploma,53845,9
Certificate,56516,4
Certificate,56100,4
Master,56379,0
Diploma,73591,3
Master,128061,6
Master,148062,5
PhD,74599,1
PhD,125872,1
Master,106468,9
Master,84290,6
Master,106225,9
PhD,61266,4
Diploma,51473,6
PhD,136234,9
Associate,100491,7
Associate,84432,5
Master,86753,9
Master,53533,5
Associate,115242,7
PhD,128402,2
Certificate,96819,2
Master,125093,7
PhD,118329,2
PhD,113821,4
Certificate,62331,8
Associate,138809,4
Associate,91972,8
PhD,99969,9
PhD,122785,5
Bachelor,118946,8
Associate,70384,4
Diploma,63532,1
Bachelor,135059,7
Diploma,70996,3
Master,128126,5
PhD,55289,6
Diploma,131488,5
Associate,59001,6
Bachelor,105936,3
Master,87084,8
Certificate,134081,3
Associate,139461,9
Certificate,100668,4
PhD,61322,4
Bachelor,99362,5
Master,135094,8
Certificate,97473,3
Associate,64872,8
Certificate,77667,8
Certificate,127404,6
PhD,110405,8
Diploma,118533,7
PhD,123478,8
Associate,85656,2
Diploma,83946,2
Certificate,131815,2
Bachelor,124926,5
Certificate,73151,0
Diploma,91194,2
Associate,97992,3
Master,105547,7
Certificate,124330,1
Bachelor,89454,6
Certificate,132456,3
PhD,76845,4
Certificate,85277,8
Master,98479,4
Master,93568,6
Certificate,128531,9
Diploma,88088,9
Diploma,122716,9
Associate,142848,2
Diploma,137740,5
Associate,138357,7
Bachelor,70875,6
Bachelor,88426,9
Associate,116968,8
Bachelor,145508,2
Associate,108947,0
Associate,78811,1
Bachelor,113076,2
Certificate,144636,0
Bachelor,109353,3
Diploma,119306,9
Bachelor,105081,6
Associate,144499,8
Certificate,130151,0
Diploma,70291,9
Certificate,146275,6
Master,102816,9
Bachelor,51409,6
Diploma,114359,2
Certificate,89401,5
PhD,93664,4
Certificate,71997,7
Certificate,125743,9
Diploma,75307,7
PhD,122657,4
Associate,62001,3
Diploma,80503,0
Certificate,110955,7
Associate,53190,9
PhD,90482,7
PhD,61420,3
Master,58172,7
Master,69999,1
Associate,52212,8
Diploma,132016,1
PhD,74479,5
Associate,100734,5
PhD,76879,9
Bachelor,53657,5
Associate,90553,7
Associate,109402,0
PhD,121763,3
Master,63400,2
PhD,122832,5
Diploma,126263,3
Bachelor,97712,6
Master,98076,3
Diploma,128818,1
Associate,119562,1
Bachelor,147919,4
Diploma,120271,0
Master,77266,4
PhD,94434,5
Associate,122890,9
Certificate,80507,8
PhD,90321,3
Diploma,87627,8
Master,123026,3
Certificate,76588,3
Associate,55985,3
Bachelor,78073,3
Diploma,61267,4
Associate,137910,3
Bachelor,82947,4
Master,82123,5
Master,90718,6
Associate,97532,3
Certificate,77434,9
PhD,67416,7
PhD,108356,2
Certificate,132168,4
PhD,105207,7
Master,108170,1
Associate,74508,8
Diploma,76656,6
Diploma,63475,9
Certificate,116761,8
Diploma,68917,0
Certificate,129572,9
Associate,73808,4
Associate,111714,0
Bachelor,133405,7
Diploma,138595,5
Master,91387,4
Certificate,111856,5
PhD,124622,5
Master,77292,1
Master,71928,1
PhD,50094,0
Master,102482,6
Diploma,53547,0
PhD,66656,1
Associate,52123,3
Certificate,86255,1
Diploma,149189,5
PhD,108860,7
Associate,51013,5
Master,127168,7
Associate,76479,1
Master,148971,6
Associate,132510,6
Diploma,140338,3
Master,66938,1
Master,92627,1
Certificate,69714,3
Certificate,128347,4
PhD,122973,1
Master,55229,7
Master,95303,7
Certificate,50942,5
Bachelor,110903,2
Associate,52802,4
Certificate,85612,3
Diploma,125531,9
PhD,93738,2
Diploma,83687,9
Certificate,119307,3
Bachelor,55691,0
Master,132035,6
Certificate,58039,6
Diploma,82407,5
Master,126498,7
Associate,123720,2
Master,123580,9
Diploma,143332,0
Associate,104954,0
Master,78523,0
Bachelor,106916,8
Certificate,128350,8
PhD,53222,7
PhD,111748,8
Master,136689,9
Master,86045,3
Master,116455,5
Bachelor,96189,5
PhD,79253,6
PhD,72151,1
PhD,50479,1
PhD,110021,3
Associate,69752,0
Master,64672,6
Certificate,103256,4
Certificate,132759,6
Associate,54749,3
Bachelor,134949,9
Master,149920,2
Master,60559,3
Diploma,87603,8
Certificate,98557,9
Diploma,107737,9
Associate,87385,0
Associate,107697,6
Bachelor,50885,2
PhD,119998,9
PhD,59399,7
Associate,91772,4
PhD,73325,9
Certificate,148250,5
PhD,60228,0
Bachelor,146203,9
Bachelor,148924,4
Diploma,126023,5
Certificate,83577,2
Master,148544,5
Certificate,74550,4
Master,57513,0
Master,142907,9
Diploma,148238,6
Master,145328,2
Associate,133670,8
Associate,75514,2
PhD,103988,4
Master,94857,2
PhD,120534,2
Diploma,142082,9
PhD,97699,1
Associate,141376,9
Master,119356,6
PhD,122249,0
Certificate,57572,1
Certificate,77946,0
Associate,78723,7
Certificate,89873,7
Certificate,104102,6
Diploma,56566,4
PhD,60397,2
Certificate,88720,2
Master,128106,7
Certificate,88097,5
Diploma,63889,5
Certificate,128820,1
Bachelor,126647,9
Diploma,51285,1
PhD,109215,7
Associate,81581,2
PhD,146359,8
Bachelor,81922,0
Master,137773,2
Associate,142450,1
Diploma,61958,5
Associate,129356,4
Associate,80829,3
PhD,144539,4
Bachelor,72812,9
Certificate,101842,1
Diploma,115564,1
Certificate,59138,7
PhD,51619,1
PhD,84406,5
Certificate,58195,4
Diploma,50632,2
Certificate,79090,8
Certificate,136159,7
Certificate,109822,8
PhD,127953,1
Associate,130786,3
PhD,54063,0
Diploma,63060,2
Certificate,71834,7
Diploma,148649,4
Diploma,60093,5
Diploma,111366,3
Bachelor,118202,0
Certificate,144446,3
Certificate,127154,4
Certificate,119033,2
Certificate,106510,8
Certificate,81179,9
Associate,121225,8
PhD,102104,0
Bachelor,136640,8
PhD,134541,5
Master,112083,3
Diploma,135906,9
Master,75668,7
Certificate,103830,6
Bachelor,122785,3
Certificate,147839,9
Diploma,62096,1
PhD,86506,3
Certificate,100283,6
PhD,51206,2
PhD,135797,5
Certificate,75861,5
Certificate,120256,2
PhD,50727,6
PhD,54221,2
Master,54737,0
Master,127440,2
Certificate,111307,2
Bachelor,124213,9
Master,79605,2
Certificate,54034,1
PhD,80345,5
Certificate,136697,3
Master,69274,9
PhD,137716,2
PhD,125540,5
PhD,139727,5
Master,112022,2
Associate,55774,6
Associate,120280,4
Bachelor,109827,6
Diploma,102157,5
Master,100099,5
Master,105369,7
Master,149119,2
Certificate,55997,8
Associate,121996,5
Bachelor,110219,7
PhD,148318,3
Master,128287,0
Bachelor,90062,4
Associate,106839,8
PhD,111231,6
Certificate,80922,4
Associate,99832,3
Certificate,142441,9
PhD,91888,0
Master,130506,6
Associate,50450,4
Bachelor,87955,9
PhD,73306,6
Bachelor,94081,5
Diploma,70749,4
PhD,54075,1
Bachelor,148833,0
Associate,106831,2
Master,60667,2
Bachelor,99314,2
Associate,133160,2
Associate,123488,5
Master,119826,9
Certificate,72021,9
Associate,56601,7
Associate,91841,9
Associate,142647,9
Diploma,87378,7
PhD,121293,3
Certificate,73034,4
Diploma,136794,0
Associate,116868,4
Associate,65475,9
Associate,93717,3
Certificate,146522,4
Diploma,73543,3
Bachelor,71851,9
Certificate,117241,8
Associate,57560,3
Master,75372,4
Associate,89139,9
Associate,124927,9
Bachelor,92983,2
Bachelor,64538,0
Master,64523,4
Certificate,106884,6
Certificate,101395,0
Associate,120213,8
Associate,68207,7
PhD,120103,8
Diploma,133300,0
Diploma,59557,2
Bachelor,93306,7
Master,133590,2
PhD,84801,8
Diploma,102360,7
PhD,116301,3
Associate,138286,0
Master,144037,2
Bachelor,137251,3
Bachelor,65788,1
Master,86715,7
Associate,80272,3
PhD,66226,8
Associate,121719,4
Associate,58177,0
Diploma,83195,5
Master,131620,7
Diploma,142449,6
Certificate,62950,0
Certificate,58094,9
Diploma,132106,4
Bachelor,122852,3
Associate,63234,2
PhD,133933,2
Associate,66233,7
Certificate,112099,8
Certificate,75506,5
Associate,90532,6
Certificate,119402,3
Diploma,138167,4
PhD,143209,8
Master,78694,8
Diploma,138505,5
Bachelor,144203,1
Certificate,81951,3
Master,115617,4
Diploma,136918,8
Associate,79316,9
Bachelor,147547,1
PhD,72740,2
Associate,52895,4
Associate,62551,1
Certificate,143023,7
Certificate,149276,0
Certificate,116304,0
Diploma,131514,4
Certificate,90876,2
Master,117296,6
Certificate,129715,9
Master,112192,8
Certificate,122570,6
Diploma,112574,3
Associate,102681,5
Diploma,64972,8
Master,126512,4
PhD,107531,9
Associate,144803,6
Diploma,80042,7
Master,73760,4
Bachelor,129161,7
Bachelor,85831,7
Diploma,68721,7
Diploma,146617,2
Bachelor,68078,0
Master,78020,6
Diploma,97044,4
Associate,85744,5
Certificate,60025,1
Certificate,146297,1
PhD,88591,9
Certificate,114403,7
Certificate,131099,3
Master,112077,7
Associate,148021,8
Bachelor,140503,6
Bachelor,119017,7
Bachelor,58005,1
Master,138820,5
Bachelor,54820,9
Bachelor,142185,5
Bachelor,100965,9
Diploma,81802,1
Bachelor,74382,5
Master,86984,2
Diploma,114095,5
Master,71268,0
Associate,105953,4
PhD,75463,9
Diploma,130158,6
PhD,75445,7
PhD,144696,4
Bachelor,134855,1
Bachelor,72400,2
Certificate,141588,3
Master,111665,5
Diploma,136983,8
PhD,110349,5
Certificate,103766,0
Diploma,131243,1
Bachelor,103227,7
Diploma,113379,3
Bachelor,140492,8
Associate,84838,6
Diploma,115479,8
PhD,96000,6
Diploma,112175,4
Certificate,134065,1
Bachelor,136666,9
PhD,61177,6
Master,106074,9
Certificate,127253,2
Bachelor,104743,9
Master,104969,0
Certificate,104953,2
Bachelor,62353,6
Master,53845,3
Diploma,132825,2
Certificate,79345,1
Master,127342,2
Associate,116782,1
Diploma,70956,8
Certificate,60823,4
Certificate,107429,2
PhD,86886,5
Certificate,92530,1
Diploma,121496,5
Certificate,61368,3
Master,102643,3
Certificate,64975,7
Diploma,70938,2
Bachelor,136183,8
PhD,108351,2
PhD,128246,3
Master,118709,2
Bachelor,92059,3
Certificate,138271,8
Bachelor,115487,8
Master,81790,2
Bachelor,114892,5
